"formula","mse","rse","cor_coef","rank_cor"
"raw_prev_rate ~ assets_fn11 * urban + assets_fn19 * urban + assets_fn5 * high_hiv",1.11298882059789e-05,0.826799346105204,0.446923586498929,0.228061288324961
"raw_prev_rate ~ assets_fn0 + assets_fn11 * urban + assets_fn5 * high_hiv",1.11326563354002e-05,0.827004980479347,0.434546329031419,0.258549351751449
"raw_prev_rate ~ age_3544_pop + assets_fn17 + assets_fn2 + assets_fn8",1.11423426774342e-05,0.827724543974651,0.459094172902505,0.424101298473084
"raw_prev_rate ~ assets_fn11 + assets_fn17 + assets_fn5 + assets_fn8",1.11427507296687e-05,0.827754856706853,0.451979429824696,0.290517760454136
"raw_prev_rate ~ assets_fn1 + assets_fn11 + assets_fn15 + assets_fn5",1.11431175583673e-05,0.827782107090917,0.421163420052797,0.225699785146262
"raw_prev_rate ~ assets_fn11:urban + assets_fn16:urban + assets_fn5:urban",1.11510732435818e-05,0.828373106318529,0.442008102259961,0.292985002581135
"raw_prev_rate ~ hv270_poorest_2013 + assets_fn12 * zone + assets_fn1 * high_hiv",1.11594465556961e-05,0.828995129545782,0.449689535509514,0.287627562533937
"raw_prev_rate ~ age_1524_pop * zone + asin_v481_uninsured_2013 * zone + asin_hv226_solidFuel_2013 * high_hiv",1.11597486881841e-05,0.82901757388115,0.494318933393228,0.261192825458948
"raw_prev_rate ~ assets_fn1 * urban + assets_fn11 * urban + assets_fn5 * urban",1.1160253967523e-05,0.82905510926509,0.437618105941322,0.149180032893192
"raw_prev_rate ~ assets_fn17 + assets_fn19 + assets_fn2 + assets_fn8",1.11624950843065e-05,0.829221593766714,0.444365472252118,0.377505668588902
"raw_prev_rate ~ GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0 + assets_fn2 + assets_fn6 + assets_fn8",1.11673778637506e-05,0.829584317881897,0.429334427997192,0.258196888590449
