"CLUSTER","ADM2_CODE","raw_prev_rate","count","response","ADM1_NAME","male_pop","age_0004_pop","age_0514_pop","age_1524_pop","age_2534_pop","age_3544_pop","age_4554_pop","age_5564_pop","age_65up_pop","hivPrev_2018","hv025_urban_2013","asin_hv226_solidFuel_2013","hv252_dailySmokingHH_2013","hv270_poorest_2013","mv149_lessThanSecondaryEduc_2013","mv717_unskilledOrUnemployed_2013","v149_lessThanSecondaryEduc_2013","v394_notVisitedHF_2013","v445_underweight_2013","asin_v481_uninsured_2013","nga10povcons125","nga_bsgmi_v0a_100m_2011","GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0","assets_fn0","assets_fn1","assets_fn10","assets_fn11","assets_fn12","assets_fn13","assets_fn14","assets_fn15","assets_fn16","assets_fn17","assets_fn18","assets_fn19","assets_fn2","assets_fn3","assets_fn4","assets_fn5","assets_fn6","assets_fn7","assets_fn8","assets_fn9","zone","urban","high_hiv"
50,"NGA010019",0.0028328611898017,706,2,"Delta",0.500983121208174,0.134351845669968,0.264775584421242,0.204594550362098,0.13820105778951,0.102103363339786,0.0717699706967225,0.0465470020920901,0.0376567219334565,0.0161033607158647,0.531462461618338,1.31308128190053,0.102883629198706,0.0103363895308141,0.405720393646577,0.33380620197568,0.576541481487331,0.862178179374007,0.063217223200969,1.33847203888989,0.319302409887314,0.0627518885430776,0.0390029439229811,0.179047375917435,0.148972861468792,0.101703301072121,0.218835413455963,0.212813645601273,0.178896926343441,0.28309528529644,0.224366314709187,0.254779472947121,0.244324363768101,0.182591743767262,0.137015879154205,0.196173839271069,0.260492324829102,0.194722555577755,0.247117199003696,0.148544952273369,0.236495643854141,0.233865819871426,0.191888585686684,"South.South",FALSE,FALSE
51,"NGA010024",0.00138312586445367,723,1,"Delta",0.509605967397158,0.127075605323463,0.247043680188326,0.209795015550328,0.156719055667201,0.107632239704433,0.0716102579102433,0.0468501310499005,0.0332740347745441,0.0185130010766509,0.0126323771918486,1.24381666924989,0.0757540016079298,0.000994332972323176,0.470917198863659,0.332123682296832,0.638170953425869,0.906228485396066,0.0766945627608383,1.36547823554344,0.402854144573212,0.0671833242182312,0.0354246566125814,0.16664357483387,0.145738735795021,0.144227549433708,0.229302242398262,0.300110787153244,0.239460811018944,0.29175654053688,0.323745459318161,0.286497712135315,0.207942828536034,0.189566135406494,0.222516536712646,0.183502927422523,0.228292003273964,0.267979860305786,0.225654736161232,0.152314037084579,0.277972757816315,0.193800300359726,0.197731658816338,"South.South",FALSE,FALSE
41,"NGA011013",0.0018796992481203,532,1,"Ebonyi",0.494808373139602,0.134954961162489,0.269142259293282,0.200800373286406,0.129054857550508,0.100771138925326,0.074419442660329,0.0511829889621227,0.0396740022098662,0.00920468972174209,0.640080275954795,1.41796689741448,0.043202344430131,0.0519568701039863,0.588870907927374,0.202930683187404,0.673664506169734,0.719969182700183,0.101044645598837,1.43344745791205,0.735076516866684,0.0228208260971101,0.00159187763961284,0.229153960943222,0.13637737929821,0.070868406444788,0.302085533738136,0.141633778810501,0.105460565537214,0.260443031787872,0.160158388316631,0.234372809529305,0.32918256521225,0.235127620398998,0.0662261582911015,0.213962055742741,0.352485463023186,0.0765394158661366,0.366349965333939,0.307184338569641,0.266316965222359,0.331583127379417,0.180804513394833,"South.East",FALSE,FALSE
52,"NGA012011",0.00297619047619048,672,2,"Edo",0.501483568722288,0.136871701900789,0.247923259145937,0.211642916836057,0.152737277523688,0.0970969919766389,0.0695149975156062,0.0491600957979259,0.035052751467076,0.0164295028168807,0.80557157994315,1.30877594158907,0.0772334485021979,0.00125996379013795,0.389545755810798,0.296151705001453,0.477200999949089,0.830216598328087,0.0774338379584784,1.35531626241709,0.344660237431526,0.106249347557378,0.0831624680233168,0.118746910244226,0.151627816259861,0.133198633790016,0.197097666561604,0.209307767450809,0.188548192381859,0.229833006858826,0.188903570175171,0.266258880496025,0.21645887196064,0.171271711587906,0.144435323774815,0.221318565309048,0.25625516474247,0.158275179564953,0.203234702348709,0.200849205255508,0.118589695543051,0.238336622714996,0.138872765004635,"South.South",TRUE,FALSE
53,"NGA012012",0,741,0,"Edo",0.506335834533961,0.126815915859415,0.223633990767744,0.215742503511172,0.175474629683759,0.103077582998418,0.0688467870652291,0.0486988936892472,0.0377096496840333,0.0270031732442464,0.65464357822542,1.35210522167766,0.0675531575256824,0.00135643289339484,0.403484951907514,0.254986229290613,0.536533721353884,0.853130139530066,0.070855139907533,1.37435965291809,0.405108958482742,0.218092509560968,0.181311398701579,0.1233084872365,0.114731661975384,0.125570550560951,0.196517959237099,0.204819560050964,0.12076772749424,0.192093893885612,0.126934498548508,0.21716546267271,0.272194281220436,0.133836179971695,0.14043228328228,0.238531909883022,0.247427649796009,0.0977706164121628,0.1842036023736,0.231528997421265,0.0823503583669662,0.299193620681763,0.0802159197628498,"South.South",TRUE,TRUE
57,"NGA013001",0.00151057401812689,662,1,"Ekiti",0.521392252178713,0.104897993763733,0.236786930108992,0.268603776275668,0.154646840427601,0.0931559283103425,0.0661473707678973,0.0434824233809431,0.0322787685828592,0.00756945598999405,0.821877774533238,1.38322050562015,0.0296724959264505,0.00260030692067957,0.31933743434108,0.337023520121444,0.371744398177307,0.691996472822308,0.067044795817545,1.39928105380511,0.529628992080688,0.170313827362775,0.148999634259857,0.128249913454056,0.150792770087719,0.102711893618107,0.198448814451694,0.167551673948765,0.134834170341492,0.197552941739559,0.155817404389381,0.233009561896324,0.255184352397919,0.144407257437706,0.117555718868971,0.207920245826244,0.235312037169933,0.108701638877392,0.208898365497589,0.186795689165592,0.151112742722034,0.270514234900475,0.11036566272378,"South.West",TRUE,FALSE
42,"NGA014003",0.003584229390681,279,1,"Enugu",0.47987774820088,0.130050475757786,0.241243603314103,0.225010687838953,0.144147621582432,0.100118017676437,0.0752362355713154,0.0504566394751149,0.0337367371159611,0.0131395253866755,0.823060632630528,1.39970599318068,0.0579238885356949,0.0398144083126411,0.582041396801415,0.263725882739674,0.617714370753574,0.673962839221036,0.0750290841679739,1.41712331812046,0.708125591278076,0.0851965035878273,0.0322187135709687,0.185056440532207,0.128029033541679,0.102203976362944,0.264626935124397,0.154748745262623,0.119225714355707,0.203747235238552,0.138972401618958,0.227906502783298,0.305600121617317,0.176374331116676,0.089536264538765,0.214147016406059,0.293552234768867,0.0676368363201618,0.295285433530807,0.264596834778786,0.202471569180489,0.323476314544678,0.129550062119961,"South.East",FALSE,FALSE
43,"NGA014013",0,475,0,"Enugu",0.483944886089056,0.117975857580933,0.251077260419658,0.233085118876708,0.13168728485468,0.0933043798289074,0.0750776617062764,0.054650855952116,0.0431416353611746,0.0181585286345451,0.607516013219213,1.48157946875897,0.0865300863513044,0.0165955425464683,0.565806267266111,0.329595306260735,0.632745245455476,0.754128376839181,0.0627513101288791,1.40184547843708,0.630168199539185,0.0908533925375391,0.0191060173516638,0.214627265930176,0.162326455116272,0.114237241446972,0.291250944137573,0.156178489327431,0.175310552120209,0.17323537170887,0.14389880001545,0.28083798289299,0.355145931243896,0.153853923082352,0.161722972989082,0.241751164197922,0.291795194149017,0.0503262057900429,0.35131710767746,0.348420083522797,0.233743384480476,0.392362058162689,0.0958552584052086,"South.East",FALSE,FALSE
67,"NGA030023",0.0121293800539084,742,9,"Osun",0.502992778780137,0.1265737674495,0.26870692302819,0.202042657637551,0.13611486593347,0.1040981504846,0.0763263266632509,0.0496936596394207,0.0364436509392687,0.0075163036680101,0.995710449626654,1.40706771313142,0.0323505013937263,0.000232125358395598,0.36412019959695,0.218075727431262,0.447452871961827,0.558173595631564,0.112334112788967,1.42464698383691,0.482920318841934,0.101008792979277,0.0850550723087339,0.171358898282051,0.169811740517616,0.079224668443203,0.245899125933647,0.160655349493027,0.131248563528061,0.235063806176186,0.169958651065826,0.251234769821167,0.282439053058624,0.193970173597336,0.10518404841423,0.187632098793983,0.298738539218903,0.104039207100868,0.317595362663269,0.253226280212402,0.24587382376194,0.291933655738831,0.147194728255272,"South.West",TRUE,FALSE
69,"NGA031007",0.00136425648021828,733,1,"Oyo",0.4942717768961,0.141424025926854,0.249234469354172,0.189292310906833,0.156356840111169,0.103344619608032,0.0700024961775249,0.0501050086611279,0.0402401803145842,0.00916558103487359,0.999788638313744,1.41408828839223,0.0544683622890592,0.000692402908290623,0.368787207197834,0.265421317192122,0.480673603734876,0.637034376794415,0.117031584997196,1.44750975817977,0.266560196876526,0.987081852508267,0.902912346940292,0.0487520694732666,0.276645377278328,0.098204642534256,0.120692655444145,0.17356926202774,0.340979442000389,0.128726430237293,0.150284253060818,0.304366618394852,0.169425554573536,0.0699560604989529,0.319890066981316,0.220581658184528,0.132611930370331,0.153245806694031,0.0795182399451733,0.163253113627434,0.0539296884089708,0.24832059442997,0.0126206297427416,"South.West",TRUE,FALSE
